all	0	4870837	26274044	0.1853859
all	1	1913323	26274044	0.0728218
all	2	2701346	26274044	0.1028142
all	3	1971415	26274044	0.0750328
all	4	1976460	26274044	0.0752248
all	5	1540517	26274044	0.0586327
all	6	1361307	26274044	0.0518119
all	7	1078594	26274044	0.0410517
all	8	908271	26274044	0.0345691
all	9	750257	26274044	0.0285551
all	10	643309	26274044	0.0244846
all	11	550050	26274044	0.0209351
all	12	475868	26274044	0.0181117
all	13	414074	26274044	0.0157598
all	14	365164	26274044	0.0138983
all	15	327863	26274044	0.0124786
all	16	289324	26274044	0.0110118
all	17	259756	26274044	0.0098864
all	18	234386	26274044	0.0089208
all	19	212293	26274044	0.0080800
all	20	191200	26274044	0.0072771
all	21	175282	26274044	0.0066713
all	22	160753	26274044	0.0061183
all	23	144977	26274044	0.0055179
all	24	133810	26274044	0.0050929
all	25	122501	26274044	0.0046624
all	26	114587	26274044	0.0043612
all	27	106935	26274044	0.0040700
all	28	101387	26274044	0.0038588
all	29	93179	26274044	0.0035464
all	30	87069	26274044	0.0033139
all	31	80779	26274044	0.0030745
all	32	73418	26274044	0.0027943
all	33	69775	26274044	0.0026557
all	34	66150	26274044	0.0025177
all	35	63439	26274044	0.0024145
all	36	60873	26274044	0.0023168
all	37	56077	26274044	0.0021343
all	38	52782	26274044	0.0020089
all	39	50110	26274044	0.0019072
all	40	46741	26274044	0.0017790
all	41	44256	26274044	0.0016844
all	42	41644	26274044	0.0015850
all	43	41149	26274044	0.0015661
all	44	38507	26274044	0.0014656
all	45	37442	26274044	0.0014251
all	46	34912	26274044	0.0013288
all	47	33617	26274044	0.0012795
all	48	32873	26274044	0.0012512
all	49	30969	26274044	0.0011787
all	50	29316	26274044	0.0011158
all	51	27889	26274044	0.0010615
all	52	26559	26274044	0.0010108
all	53	25889	26274044	0.0009853
all	54	24558	26274044	0.0009347
all	55	23890	26274044	0.0009093
all	56	23166	26274044	0.0008817
all	57	21859	26274044	0.0008320
all	58	21290	26274044	0.0008103
all	59	20596	26274044	0.0007839
all	60	19383	26274044	0.0007377
all	61	18987	26274044	0.0007227
all	62	18288	26274044	0.0006960
all	63	17808	26274044	0.0006778
all	64	17314	26274044	0.0006590
all	65	16677	26274044	0.0006347
all	66	16117	26274044	0.0006134
all	67	15092	26274044	0.0005744
all	68	14536	26274044	0.0005532
all	69	14216	26274044	0.0005411
all	70	13944	26274044	0.0005307
all	71	13499	26274044	0.0005138
all	72	13233	26274044	0.0005037
all	73	12624	26274044	0.0004805
all	74	12006	26274044	0.0004570
all	75	11673	26274044	0.0004443
all	76	10908	26274044	0.0004152
all	77	10781	26274044	0.0004103
all	78	10296	26274044	0.0003919
all	79	10103	26274044	0.0003845
all	80	9742	26274044	0.0003708
all	81	9382	26274044	0.0003571
all	82	9136	26274044	0.0003477
all	83	9046	26274044	0.0003443
all	84	8634	26274044	0.0003286
all	85	8252	26274044	0.0003141
all	86	8307	26274044	0.0003162
all	87	8069	26274044	0.0003071
all	88	7825	26274044	0.0002978
all	89	7755	26274044	0.0002952
all	90	7580	26274044	0.0002885
all	91	7706	26274044	0.0002933
all	92	7263	26274044	0.0002764
all	93	7137	26274044	0.0002716
all	94	7041	26274044	0.0002680
all	95	6930	26274044	0.0002638
all	96	6563	26274044	0.0002498
all	97	6489	26274044	0.0002470
all	98	6467	26274044	0.0002461
all	99	6085	26274044	0.0002316
all	100	6125	26274044	0.0002331
all	101	5730	26274044	0.0002181
all	102	5573	26274044	0.0002121
all	103	5484	26274044	0.0002087
all	104	5343	26274044	0.0002034
all	105	5162	26274044	0.0001965
